DUMMY,DUMMY,DUMMY,1
1,22,3,14.63662699
1,22,4,8.913430988
1,22,5,1.902019431
1,22,7,19.37128346
1,22,8,8.6540857
1,22,9,15.79955759
1,22,10,27.42602065
1,22,11,25.39905213
1,22,13,29.49377975
1,22,14,51.40147382
1,22,17,67.94496381
1,22,20,83.4825489
1,23,1,4.721184423
1,23,2,16.7555323
1,23,3,16.79605877
1,23,4,6.090274946
1,23,5,6.313163472
1,23,7,15.44272092
1,23,8,33.42765804
1,23,9,13.35565873
1,23,10,24.18790339
1,23,13,76.58528886
1,23,15,51.63265011
1,23,18,67.35556793
1,23,20,71.77095191
1,25,20,2.276694949
1,33,20,12.06140731
1,34,20,0.018713909
1,35,20,53.15796732
1,36,20,17.19247301
1,37,20,0.047071371
1,38,20,60.13826051
1,39,20,0.025566351
1,40,20,0.034191706
1,41,20,0.086268724
1,42,20,0.071430177
1,43,20,0.006793855
1,44,20,0.023424463
1,45,20,0.08176162
1,46,20,0.089601017
1,47,20,75.09102209
1,48,20,0.012340398
1,49,20,0.014851559
1,50,20,0.110846109
1,51,20,0.005206328
1,52,20,18.87282923
1,53,20,0.005349214
1,54,20,0.008473505
1,55,20,0.871574841
1,56,19,2.56E-06
1,56,20,1.16E-06
1,57,20,7.79E-05
1,58,20,0.059236155
1,59,20,0.002671856
1,60,20,0.043251455
1,61,20,0.083139737
1,62,20,0.018754191
1,63,20,0.062308626
1,64,20,0.004693604
1,65,20,0.006671643
1,66,20,0.00973347
1,67,20,0.007294777
1,68,20,0.003872098
1,69,20,0.000990699
1,70,20,0.005505943
1,71,20,0.00836545
1,72,20,0.195164958
1,73,20,0.002341892
1,74,20,0.000623094
1,75,20,0.034857752
1,76,20,0.00549205
1,77,20,0.03875094
1,78,20,0.001251656
1,79,20,0.004626433
1,80,20,0.001616208
1,81,20,2.74E-08
1,82,20,6.69E-06
2,1,1,239.1413723
2,1,2,309.457469
2,1,3,869.7395935
2,1,4,1873.677644
2,1,5,262.9280013
2,1,6,932.4489802
2,1,7,1432.945881
2,1,8,586.3974328
2,1,9,1210.641414
2,1,10,2140.514366
2,1,11,952.3139676
2,1,12,1061.117729
2,1,13,3101.762567
2,1,14,314.6036635
2,1,15,1654.722865
2,1,16,3326.790385
2,1,18,3268.876293
2,1,20,2323.929629
2,2,1,80.82645816
2,2,2,13.45552397
2,2,3,196.5780021
2,2,4,113.8177248
2,2,5,111.4824958
2,2,6,100.5577344
2,2,8,255.5795009
2,2,9,147.7229985
2,2,10,182.8643038
2,2,11,179.3125492
2,2,13,387.5190086
2,2,14,75.42293984
2,2,15,203.6649547
2,2,16,289.6410193
2,2,18,429.2097133
2,2,20,307.0758023
2,3,1,44.51082516
2,3,3,46.54393029
2,3,4,171.7506424
2,3,7,26.3778936
2,3,8,308.3212541
2,3,9,73.09989726
2,3,10,119.6306549
2,3,11,292.5572065
2,3,12,344.0789091
2,3,13,433.1031985
2,3,15,361.6199074
2,3,16,661.2180196
2,3,17,388.0023269
2,3,18,277.0282313
2,3,20,797.9672353
2,4,20,119.3213087
2,5,4,172.5272168
2,5,5,103.5308393
2,5,6,57.20518547
2,5,13,63.36624693
2,5,15,127.1213771
2,5,20,238.0514672
2,6,20,59.28659919
2,7,20,0.021325734
2,8,20,0.000334718
2,9,20,0.000224356
2,10,20,3.43E-05
3,1,2,823.8893014
3,1,4,928.5642241
3,1,7,1941.89958
3,1,11,3762.815127
3,1,14,3683.517828
3,1,15,1363.420726
3,1,20,3545.104306
3,2,2,2216.460852
3,2,3,1330.651594
3,2,5,3686.49742
3,2,7,4926.820651
3,2,8,3471.059389
3,2,9,3930.6113
3,2,10,4460.341638
3,2,12,9079.516206
3,2,14,10085.21086
3,2,15,5923.917834
3,2,17,12330.06276
3,2,19,15189.42006
3,2,20,10401.46105
3,3,1,113.928785
3,3,20,227.7210071
3,4,1,34.68399824
3,4,2,28.96551298
3,4,3,27.39345083
3,4,4,29.05801477
3,4,5,29.39153096
3,4,6,31.71475451
3,4,7,33.63499048
3,4,8,73.4713891
3,4,9,9.550298206
3,4,10,24.90421932
3,4,11,39.74738667
3,4,12,33.12156238
3,4,13,71.57103557
3,4,15,94.48990215
3,4,18,107.6247691
3,4,19,14.10453025
3,4,20,32.1177479
3,8,20,134.2959081
3,9,20,34.72556371
3,10,20,1.447750567
4,1,20,128.1480549
4,2,20,123.9655896
4,3,20,169.8090947
4,4,1,0.0002911
4,4,20,162.1065498
4,5,1,171.4369597
4,5,2,52.87392911
4,5,3,8.213968369
4,5,4,66.05236762
4,5,5,47.32252069
4,5,6,1.379286194
4,5,7,0.581910155
4,5,8,29.8955639
4,5,9,6.368082553
4,5,10,13.96613422
4,5,11,40.50730871
4,5,12,21.25273813
4,5,13,34.24621737
4,5,14,22.05345551
4,5,15,54.54282519
4,5,16,67.3344736
4,5,17,46.46480787
4,5,18,37.58848763
4,5,20,482.8208887
4,6,1,119.3167393
4,6,2,48.87911145
4,6,20,350.0166513
4,10,20,111.5894544
4,11,20,98.51340976
4,12,20,40.77073709
4,14,20,124.7795173
4,17,20,208.9870597
4,18,20,1.411917725
4,19,20,0.001086167
4,20,20,0.005921158
4,21,20,0.001349482
4,22,20,0.009637234
4,23,20,0.072668627
4,24,20,0.027699463
4,25,20,0.001162413
4,26,20,0.013069926
4,27,20,45.93404255
4,28,20,0.006819821
4,29,20,0.004135473
4,30,20,0.009561673
4,31,20,0.000153528
4,32,20,0.00871477
4,33,20,0.000656279
4,34,20,0.000202126
4,35,20,10.1625814
4,36,20,4.50E-05
5,1,2,37.74597849
5,1,3,133.5805124
5,1,4,137.5692215
5,1,5,531.6461592
5,1,6,853.5474327
5,1,7,0.073257037
5,1,8,903.3490938
5,1,9,927.4383246
5,1,10,963.4879194
5,1,13,42.71486693
5,1,15,337.574261
5,1,16,1366.58711
5,1,19,1666.179335
5,1,20,605.7537395
5,2,1,14.4755761
5,2,20,154.7744479
5,3,1,122.5068749
5,3,5,80.87119213
5,3,6,224.5260037
5,3,7,0.664534684
5,3,11,79.85601301
5,3,16,336.7565651
5,3,19,78.66651955
5,3,20,217.0331375
5,4,1,137.6527386
5,4,20,156.6415317
5,5,20,63.07852577
5,6,1,274.3253127
5,6,2,201.9723243
5,6,20,222.7551157
5,7,1,68.65373575
5,7,20,128.59153
5,8,20,2.22E-09
5,9,20,6.05E-11
5,10,20,7.15E-11
5,11,20,2.28E-09
5,12,20,1.48E-06
5,13,13,271.1528359
5,13,20,9.25E-11
5,14,20,1.20E-11
6,1,1,191.4385869
6,1,20,2618.422289
6,2,1,848.0259212
6,2,2,779.7083738
6,2,3,1083.050545
6,2,4,1220.506925
6,2,5,1028.254467
6,2,6,1029.993572
6,2,7,768.2887158
6,2,8,869.9076484
6,2,9,798.1862567
6,2,10,746.3171265
