DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,47,0.504761412,0.384922458,0.393161052,0.316350603,0.236281118,0.559870213,0.655291936,0.641830596,0.539888928,0.484513765,0.39419883,0.245201399,0.251928284,0.189467522,2.021061514
1,48,0.280145962,0.065083565,0.055169238,0.062302936,0.070340755,0.089964051,0.110084409,0.100334085,0.235980488,0.18756746,0.142024601,0.064794611,0.054748178,0.024774059,0.1741775
1,49,0.119816686,0.088733231,0.060452043,0.062670308,0.063192238,0.061004278,0.059259653,0.048267433,0.067303736,0.045307522,0.024095081,0.021742577,0.005674871,0.008238242,0.046063847
1,50,1.028490117,0.213225453,0.203363645,0.274133205,0.284305386,0.426396165,0.562392458,0.760917989,1.138106439,1.128610353,0.937348276,0.756774153,0.556000581,0.450133649,1.367858322
1,51,0.207269892,0.063948994,0.095442653,0.137963846,0.170177363,0.170673446,0.146117153,0.111470875,0.104296147,0.089637685,0.076027987,0.040392538,0.025130642,0.01351133,0.017190352
1,52,0.072617723,0.051009427,0.042904037,0.09075693,0.109253435,0.142499089,0.174055648,0.439988372,0.376877587,0.319166419,0.352187147,0.203412335,0.189334289,0.124856597,1.116207272
1,53,0.149768671,0.034571136,0.031236773,0.019166621,0.013203478,0.01884953,0.021999586,0.068459558,0.047887378,0.067447741,0.057299157,0.016036734,0.014530706,0.003878758,0.055035274
1,54,0.141888078,0.015975297,0.039882725,0.067161744,0.091614432,0.070735643,0.051296207,0.108189329,0.100235175,0.070719076,0.065360648,0.040170339,0.032992284,0.025066595,0.127164852
1,55,0.014983734,0.014983734,0.0292994,0.0292994,0.011031985,0.027579963,0.02608808,0.02608808,0.028919185,0.028919185,0.027894953,0.027894953,0.029625543,0.029625543,0.579554985
1,56,0,0,0,0,0.000272153,0.000272153,0,0,0,0,0,0,0,0,0.001860698
1,57,0.005416213,0.005416213,0.009900694,0.009900694,0.009047637,0.009047637,0.010127436,0.010127436,0.004466902,0.005583627,0.002549014,0.002549014,0.003166299,0.003166299,0.006775342
1,58,0.221379738,0.17921909,0.245672253,0.175488089,0.128515126,0.116834859,0.112809423,0.085655797,0.034358399,0.009248551,0.004366106,0.002619783,0.002370514,0,0
